Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
84,43.5320511768545,263.664685910379,1.0,20.0,0.0,36.0,20.0,19.760000000000062,19.99825040092981,40.0,35.76000000000006,29.99825040092981
85,45.474831045659734,236.08508387317417,1.0,20.0,0.0,54.0,20.0,19.952000000000012,19.999475120278944,40.0,35.95200000000001,29.999475120278944
86,55.31359799838317,174.5150904537138,1.0,20.0,0.0,72.0,20.0,19.9904,19.999842536083683,40.0,35.9904,29.999842536083683
87,48.23661059507569,229.40696063603033,0.0,0.0,0.0,72.0,20.0,15.198080000000001,19.999952760825103,20.0,15.198080000000001,19.999952760825103
88,38.26191836986369,313.00733447559867,1.0,8.88888888888889,0.0,80.0,20.0,19.039616000000002,19.99998582824753,28.88888888888889,26.150727111111113,24.444430272691974
89,42.98842514144466,289.94705926605843,0.0,0.0,20.0,60.0,20.0,15.007923200000002,19.99999574847426,0.0,-0.9920767999999978,9.999995748474259
90,35.776620394784324,363.31458284438685,0.0,0.0,20.0,40.0,20.0,14.201584640000002,14.399998724542275,0.0,-1.7984153599999981,4.399998724542275
91,38.8668742477253,412.0618783682582,0.0,0.0,20.0,20.0,20.0,14.040316928000001,12.719999617362681,0.0,-1.959683071999999,2.7199996173626815
92,21.883575248981185,397.1920858526575,0.0,0.0,20.0,0.0,20.0,14.008063385600002,12.215999885208802,0.0,-1.9919366143999984,2.2159998852088023
93,21.772101109419648,454.28025649612806,0.0,0.0,0.0,0.0,20.0,14.00161267712,12.064799965562639,20.0,14.00161267712,12.064799965562639
94,18.872753718176163,382.6657903655936,0.0,0.0,0.0,0.0,20.0,14.000322535424,12.01943998966879,20.0,14.000322535424,12.01943998966879
95,8.802993020607026,464.15724470333157,0.0,0.0,0.0,0.0,20.0,14.0000645070848,12.005831996900636,20.0,14.0000645070848,12.005831996900636
96,22.368962216516607,492.4229554582052,0.0,0.0,0.0,0.0,20.0,14.000012901416962,12.00174959907019,20.0,14.000012901416962,12.00174959907019
97,22.599554783103088,457.4553784844147,0.0,0.0,0.0,0.0,20.0,14.000002580283393,12.000524879721056,20.0,14.000002580283393,12.000524879721056
98,22.050526596373107,500.0,0.0,0.0,0.0,0.0,20.0,14.00000051605668,12.000157463916315,20.0,14.00000051605668,12.000157463916315
99,22.51670121520061,413.16177583916317,0.0,0.0,0.0,0.0,20.0,14.000000103211338,12.000047239174894,20.0,14.000000103211338,12.000047239174894
100,16.177034063596686,411.7986653990905,0.0,0.0,0.0,0.0,20.0,14.000000020642268,12.000014171752467,20.0,14.000000020642268,12.000014171752467
101,27.752551741339317,392.74507408396084,0.0,0.0,0.0,0.0,20.0,14.000000004128456,12.000004251525738,20.0,14.000000004128456,12.000004251525738
102,32.25828386778584,393.23819867198347,0.0,0.0,0.0,0.0,20.0,14.000000000825693,12.00000127545772,20.0,14.000000000825693,12.00000127545772
103,32.464067522764864,268.1012786992387,0.0,0.0,0.0,0.0,20.0,14.00000000016514,17.600000382637315,20.0,14.00000000016514,17.600000382637315
104,41.20971430667193,309.8949125646488,0.0,0.0,0.0,0.0,20.0,14.00000000003303,19.280000114791193,20.0,14.00000000003303,19.280000114791193
105,48.83900857231452,244.24097465260547,0.0,0.0,0.0,0.0,20.0,14.000000000006608,19.78400003443736,20.0,14.000000000006608,19.78400003443736
106,63.07986826645082,190.65092990089568,0.0,0.0,0.0,0.0,20.0,14.000000000001323,19.935200010331208,20.0,14.000000000001323,19.935200010331208
107,50.88550989699074,218.9742302845379,1.0,20.0,0.0,18.0,20.0,18.800000000000264,19.980560003099363,40.0,34.80000000000027,29.980560003099363
108,52.06040312578211,205.9717908672041,0.0,0.0,0.0,18.0,20.0,14.960000000000054,19.994168000929808,20.0,14.960000000000054,19.994168000929808
109,48.89332006820669,187.10461974187592,0.0,0.0,0.0,18.0,20.0,14.192000000000013,19.99825040027894,20.0,14.192000000000013,19.99825040027894
110,32.64021133437425,222.19025198203477,0.0,0.0,0.0,18.0,20.0,14.038400000000003,19.99947512008368,20.0,14.038400000000003,19.99947512008368
111,45.39449071420448,232.37457491616507,1.0,20.0,0.0,36.0,20.0,18.80768,19.999842536025103,40.0,34.807680000000005,29.999842536025103
112,42.98184167952821,278.40552035753745,1.0,20.0,0.0,54.0,20.0,19.761536,19.99995276080753,40.0,35.761536,29.99995276080753
113,58.5882225764201,331.0410634702532,0.0,0.0,20.0,34.0,20.0,15.152307200000001,19.99998582824226,0.0,-0.847692799999999,9.99998582824226
114,33.46111228175102,397.5805044843606,0.0,0.0,20.0,14.0,20.0,14.230461440000001,14.399995748472676,0.0,-1.769538559999999,4.399995748472676
115,33.53009306213109,351.6883918005726,0.0,0.0,14.0,0.0,20.0,14.046092288,18.319998724541804,6.0,2.8460922879999995,11.319998724541804
116,27.222305842358058,488.991001239688,0.0,0.0,0.0,0.0,20.0,14.009218457600001,13.89599961736254,20.0,14.009218457600001,13.89599961736254
117,15.043973981245538,397.503383192307,0.0,0.0,0.0,0.0,20.0,14.001843691520001,12.56879988520876,20.0,14.001843691520001,12.56879988520876
118,31.152201459353588,475.35025771659826,0.0,0.0,0.0,0.0,20.0,14.000368738304001,12.170639965562627,20.0,14.000368738304001,12.170639965562627
119,26.52657686715817,500.0,0.0,0.0,0.0,0.0,20.0,14.000073747660801,12.051191989668787,20.0,14.000073747660801,12.051191989668787
120,26.328255576344375,500.0,0.0,0.0,0.0,0.0,20.0,14.000014749532161,12.015357596900635,20.0,14.000014749532161,12.015357596900635
121,13.236012967306063,476.2078883487424,0.0,0.0,0.0,0.0,20.0,14.000002949906433,12.00460727907019,20.0,14.000002949906433,12.00460727907019
122,33.23197343072221,473.66014305694756,0.0,0.0,0.0,0.0,20.0,14.000000589981287,12.001382183721056,20.0,14.000000589981287,12.001382183721056
123,13.17858977986354,441.27598913821714,0.0,0.0,0.0,0.0,20.0,14.000000117996258,12.000414655116316,20.0,14.000000117996258,12.000414655116316
124,32.19485675040216,407.31905729167363,0.0,0.0,0.0,0.0,20.0,14.000000023599252,12.000124396534893,20.0,14.000000023599252,12.000124396534893
125,48.64135932994202,414.31091967600884,0.0,0.0,0.0,0.0,20.0,14.000000004719851,12.000037318960466,20.0,14.000000004719851,12.000037318960466
126,27.075709398954494,360.7104645789514,0.0,0.0,0.0,0.0,20.0,14.000000000943972,17.60001119568814,20.0,14.000000000943972,17.60001119568814
127,34.35190383971564,290.38985537680225,0.0,0.0,0.0,0.0,20.0,14.000000000188795,19.28000335870644,20.0,14.000000000188795,19.28000335870644
128,43.29721092070113,301.9879962629975,0.0,0.0,0.0,0.0,20.0,14.00000000003776,19.784001007611934,20.0,14.00000000003776,19.784001007611934
129,41.57879648486862,253.15296844831616,0.0,0.0,0.0,0.0,20.0,14.000000000007553,19.93520030228358,20.0,14.000000000007553,19.93520030228358
130,35.58507360823752,244.482052997503,1.0,20.0,0.0,18.0,20.0,18.80000000000151,19.980560090685074,40.0,34.80000000000151,29.980560090685074
131,50.03739119278424,223.99999131434814,1.0,20.0,0.0,36.0,20.0,19.760000000000304,19.99416802720552,40.0,35.7600000000003,29.99416802720552
132,41.50157029019116,175.13014967233784,1.0,20.0,0.0,54.0,20.0,19.952000000000062,19.998250408161656,40.0,35.95200000000006,29.998250408161656
133,53.27762683941748,188.30569485073067,0.0,0.0,0.0,54.0,20.0,15.190400000000015,19.999475122448498,20.0,15.190400000000015,19.999475122448498
134,40.634987182896154,242.51499758603205,1.0,20.0,0.0,72.0,20.0,19.038080000000004,19.999842536734548,40.0,35.03808000000001,29.999842536734548
